datetime_iso,X_km,Y_km,Z_km,VX_kms,VY_kms,VZ_kms,MQUDE_drift_km
2025-10-01 00:00:00.000,3421139.8668,1354419.9695,-255898992.3378,-2.0708e-05,2.8548e-05,2.4541e-05,0.000
2025-10-04 01:57:33.061,-5081661.3522,13074361.3016,-245749113.0194,-2.0707e-05,2.8537e-05,2.4905e-05,0.015
2025-10-07 03:55:06.122,-13581152.4027,24785908.4017,-235444229.3201,-2.0692e-05,2.8507e-05,2.5296e-05,0.041
2025-10-10 05:52:39.184,-22070949.3062,36479812.0068,-224973300.6493,-2.0659e-05,2.8451e-05,2.5713e-05,0.079
2025-10-13 07:50:12.245,-30543338.1467,48144973.5243,-214326202.1872,-2.0607e-05,2.8366e-05,2.6153e-05,0.132
2025-10-16 09:47:45.306,-38989284.0727,59768475.3818,-203494458.4381,-2.0530e-05,2.8247e-05,2.6611e-05,0.201
2025-10-19 11:45:18.367,-47398575.5460,71335803.9078,-192472068.9237,-2.0428e-05,2.8092e-05,2.7081e-05,0.289
2025-10-22 13:42:51.429,-55760137.5806,82831309.9668,-181256332.2760,-2.0297e-05,2.7897e-05,2.7552e-05,0.398
2025-10-25 15:40:24.490,-64062522.4696,94238916.0367,-169848533.1418,-2.0139e-05,2.7664e-05,2.8014e-05,0.530
2025-10-28 17:37:57.551,-72294545.8889,105543020.8679,-158254339.3687,-1.9955e-05,2.7394e-05,2.8458e-05,0.687
2025-10-31 19:35:30.612,-80445990.5271,116729489.1646,-146483784.5136,-1.9748e-05,2.7092e-05,2.8872e-05,0.870
2025-11-03 21:33:03.673,-88508266.6249,127786569.4726,-134550787.3363,-1.9522e-05,2.6765e-05,2.9248e-05,1.081
2025-11-06 23:30:36.735,-96474916.4466,138705582.6680,-122472265.2493,-1.9283e-05,2.6421e-05,2.9580e-05,1.322
2025-11-10 01:28:09.796,-104341883.0354,149481272.6261,-110266993.1468,-1.9037e-05,2.6068e-05,2.9865e-05,1.595
2025-11-13 03:25:42.857,-112107520.4904,160111791.7985,-97954405.1895,-1.8790e-05,2.5715e-05,3.0103e-05,1.901
2025-11-16 05:23:15.918,-119772380.3977,170598374.8229,-85553521.5564,-1.8547e-05,2.5368e-05,3.0296e-05,2.242
2025-11-19 07:20:48.980,-127338846.6440,180944804.7021,-73082120.7033,-1.8311e-05,2.5033e-05,3.0447e-05,2.620
2025-11-22 09:18:22.041,-134810700.9453,191156788.4829,-60556201.6287,-1.8086e-05,2.4713e-05,3.0562e-05,3.037
2025-11-25 11:15:55.102,-142192689.2541,201241340.7141,-47989717.7013,-1.7874e-05,2.4412e-05,3.0645e-05,3.494
2025-11-28 13:13:28.163,-149490136.0789,211206239.5406,-35394526.7999,-1.7675e-05,2.4131e-05,3.0703e-05,3.994
2025-12-01 15:11:01.224,-156708630.0487,221059586.6511,-22780490.9478,-1.7489e-05,2.3869e-05,3.0738e-05,4.538
2025-12-04 17:08:34.286,-163853785.7100,230809476.6204,-10155664.1222,-1.7317e-05,2.3627e-05,3.0756e-05,5.128
2025-12-07 19:06:07.347,-170931075.1806,240463765.5243,2473479.5796,-1.7159e-05,2.3403e-05,3.0760e-05,5.766
2025-12-10 21:03:40.408,-177945717.9203,250029921.5111,15101810.2922,-1.7012e-05,2.3197e-05,3.0752e-05,6.454
2025-12-13 23:01:13.469,-184902615.5987,259514938.5312,27725319.2587,-1.6877e-05,2.3008e-05,3.0736e-05,7.195
2025-12-17 00:58:46.531,-191806320.0613,268925296.0849,40340918.6513,-1.6753e-05,2.2833e-05,3.0714e-05,7.990
2025-12-20 02:56:19.592,-198661024.4008,278266950.8364,52946268.3223,-1.6638e-05,2.2673e-05,3.0687e-05,8.842
2025-12-23 04:53:52.653,-205470569.3543,287545349.1387,65539629.5693,-1.6533e-05,2.2525e-05,3.0656e-05,9.752
2025-12-26 06:51:25.714,-212238459.2515,296765452.3995,78119743.8840,-1.6435e-05,2.2389e-05,3.0622e-05,10.723
2025-12-29 08:48:58.776,-218967883.4040,305931769.5695,90685733.7000,-1.6345e-05,2.2263e-05,3.0587e-05,11.757
2026-01-01 10:46:31.837,-225661740.1013,315048392.8495,103237021.9059,-1.6262e-05,2.2146e-05,3.0551e-05,12.855
